;index;game_id_base;max_players_base;max_playtime_base;min_age_base;min_players_base;min_playtime_base;year_published_base;category_base;average_rating_base;users_rated_base;average_learning_complexity_api;average_strategy_complexity_api;min_age_category_base;year_published_category_base;users_rated_log_base;economic_d;negotiation_d;cardgame_d;fantasy_d;abstractstrategy_d;medieval_d;ancient_d;exploration_d;bluffing_d;sciencefiction_d;dice_d;fighting_d;adventure_d;wargame_d;humor_d;partygame_d;animals_d;childrensgame_d;deduction_d;movies/tv/radiotheme_d;price_api;price_ca_api;price_uk_api;price_au_api;discount_api;listing_clicks_api
10;14;13;4;120;10;3;60;1995;Negotiation;7.265689999999999;67655;2.090909090909091;2.5454545454545454;8-12;1991-2000;11.122176540697744;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.19;36.97;35.78;51.0;0.29;10
11;15;15;6;90;12;2;90;1977;Bluffing,Negotiation,Science Fiction;6.9347;3629;3.25;2.5;8-12;1971-1980;8.19671240721307;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;49.99;64.99;55.66;76.0;0.02;0
12;19;17;2;5;10;2;5;1999;Collectible Components,Dice,Fighting,Print & Play;6.3087;724;0.0;0.0;8-12;1991-2000;6.584791392385716;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
13;20;18;8;120;12;2;45;1994;Miniatures,Racing,Science Fiction;7.15355;19371;0.0;0.0;8-12;1991-2000;9.871532381294577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;199.99;0.0;49.95;0.0;0
14;21;19;4;45;9;2;30;1991;American West,Bluffing,City Building;6.31166;1459;0.0;0.0;8-12;1991-2000;7.285506548522785;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
15;22;20;4;90;12;2;90;1988;Science Fiction;7.435919999999999;602;0.0;0.0;8-12;1981-1990;6.400257445308821;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
16;23;22;16;240;12;1;240;1979;Adventure,Exploration,Fantasy;7.143839999999999;1709;4.0;3.0;8-12;1971-1980;7.443663683115591;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
17;24;23;6;360;12;2;360;1979;Fantasy,Political,Wargame;6.9565399999999995;483;0.0;0.0;8-12;1971-1980;6.180016653652572;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
18;25;26;6;360;12;3;360;1996;Civilization,Economic,Medieval,Renaissance;7.0993;1944;0.0;0.0;8-12;1991-2000;7.572502985020384;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
19;26;29;4;120;10;2;120;1993;Fighting,Humor;6.66639;61;0.0;0.0;8-12;1991-2000;4.110873864173311;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
20;27;30;4;90;10;1;90;1981;Adventure,Electronic,Exploration,Fantasy,Fighting;6.6435;1052;3.0;1.0;8-12;1981-1990;6.9584483932976555;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
21;28;31;5;90;10;2;90;1992;Adventure,Exploration,Fantasy,Fighting,Miniatures;5.18525;590;0.0;0.0;8-12;1991-2000;6.380122536899765;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
22;29;34;8;180;12;1;180;1987;Adventure,Horror,Novel-based;6.563860000000001;453;3.0;3.0;8-12;1981-1990;6.115892125483034;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;63.99;0.0;57.59;89.99;-0.16;0
23;2;37;4;120;12;2;120;1991;Fantasy,Wargame;5.69731;130;0.0;0.0;8-12;1991-2000;4.867534450455582;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;69.99;0.0;0.0;0.0;0.0;0
24;31;41;4;30;9;2;30;1980;Dice;6.85659;9095;2.0;2.0;8-12;1971-1980;9.115480090952223;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.42;32.95;0.0;72.95;-0.51;0
25;32;42;4;90;12;2;90;1997;Abstract Strategy,Ancient,Civilization,Territory Building;7.723789999999999;20166;0.0;0.0;8-12;1991-2000;9.91175329695316;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;249.99;0.0;0.0;0.0;0.0;0
26;33;44;6;60;8;3;60;1998;Card Game;6.4529;1418;0.0;0.0;8-12;1991-2000;7.257002707092073;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
27;34;46;6;60;10;2;60;1995;Renaissance;7.1502;5702;2.0;3.0;8-12;1991-2000;8.648572269472618;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;174.03;0.0;0.0;58.99;0.0;0
28;35;47;5;60;12;3;60;1999;City Building,Economic,Negotiation;7.23234;5846;2.0;3.0;8-12;1991-2000;8.673512945671192;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.99;47.95;35.78;64.99;0.2;14
29;36;49;5;30;10;2;30;1999;Card Game;6.48827;4824;0.0;0.0;8-12;1991-2000;8.481358738407021;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.0;0.0;0.0;0
30;37;50;2;30;10;2;30;1999;Card Game,Exploration;7.1478399999999995;26686;1.6;2.2;8-12;1991-2000;10.191894362302365;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.47;18.95;0.0;31.99;0.28;8
31;38;51;15;30;10;1;30;1999;Abstract Strategy,Maze,Puzzle,Real-time;6.99357;6278;0.0;0.0;8-12;1991-2000;8.744806737401898;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;59.99;0.0;0.0;0.0;-0.2;0
32;39;54;4;90;13;2;90;1999;Exploration,Territory Building;7.34313;13674;0.0;0.0;13-17;1991-2000;9.523251498473739;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.99;38.95;0.0;0.0;0.27;13
33;40;58;4;120;12;2;120;1986;Bluffing,Exploration,Fantasy,Territory Building,Wargame;6.536919999999999;1477;0.0;0.0;8-12;1981-1990;7.29776828253138;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;64.99;0.0;0.0;0.0;0
34;41;62;4;120;12;1;120;1988;Adventure,Ancient,Horror;5.22768;298;0.0;0.0;8-12;1981-1990;5.697093486505405;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
35;5;63;8;180;12;2;180;1979;Political,Wargame;6.38198;369;0.0;0.0;8-12;1971-1980;5.910796644040527;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
36;42;64;6;180;12;3;180;1998;Card Game,Medieval,Political,Wargame;6.26579;409;0.0;0.0;8-12;1991-2000;6.013715156042802;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
37;43;66;4;90;12;2;90;1997;Medieval,Political;7.08413;2193;0.0;0.0;8-12;1991-2000;7.693025748417888;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
38;44;68;4;180;12;2;180;1997;Ancient,Wargame;7.0262899999999995;439;0.0;0.0;8-12;1991-2000;6.0844994130751715;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
39;45;70;5;60;10;2;60;1999;City Building;6.9039;2164;0.0;0.0;8-12;1991-2000;7.679713639966372;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
40;46;71;7;360;12;2;360;1980;Ancient,Civilization,Economic,Negotiation;7.5225800000000005;6178;0.0;0.0;8-12;1971-1980;8.728749873478527;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;239.95;0.0;31.8;0.0;-3.0;0
41;47;72;4;60;12;3;60;1998;Card Game,Political;6.7405100000000004;1709;0.0;0.0;8-12;1991-2000;7.443663683115591;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.95;7.0;0.0;0.0;0
42;48;73;6;60;10;2;60;1996;Card Game;7.06054;1474;0.0;0.0;8-12;1991-2000;7.295735072749282;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;31.95;0.0;0.0;0.0;0
43;49;74;10;30;12;4;30;1999;Card Game,Humor,Party Game;5.95458;14611;1.0;1.0;8-12;1991-2000;9.589529948672084;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;10.89;22.95;0.0;48.95;0.0;0
44;52;76;6;120;10;2;120;1996;Aviation / Flight,Economic,Territory Building;6.38664;716;0.0;0.0;8-12;1991-2000;6.573680166960646;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.99;0.0;0.0;0.0;0.0;0
45;53;77;2;240;12;2;240;1991;Wargame,World War II;7.6713;626;0.0;0.0;8-12;1991-2000;6.439350371100098;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
46;54;82;2;240;12;2;240;1993;American Civil War,Wargame;6.83287;297;0.0;0.0;8-12;1991-2000;5.6937321388027;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.95;0.0;0.0;0.0;0
47;55;83;2;180;12;2;180;1997;American Civil War,Wargame;6.43277;119;0.0;0.0;8-12;1991-2000;4.77912349311153;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;69.99;0.0;0.0;0.0;0.0;0
48;56;84;2;150;12;2;150;1982;Wargame,World War II;7.54068;878;0.0;0.0;8-12;1981-1990;6.777646593635117;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.79;0.0;0.0;0
49;57;85;2;60;12;2;60;1972;Age of Reason,Wargame;6.93157;616;0.0;0.0;8-12;1971-1980;6.423246963533519;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
50;58;88;4;60;12;2;60;1999;Abstract Strategy,Medieval;7.176239999999999;6980;0.0;0.0;8-12;1991-2000;8.850804195756417;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.95;56.99;0.0;69.99;0.2;0
51;59;91;2;480;14;2;480;1999;Wargame,World War I;8.025780000000001;3596;0.0;0.0;13-17;1991-2000;8.18757739559151;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;211.17;69.99;38.99;0.0;0.0;0
52;60;93;5;120;12;2;60;1995;Renaissance;7.804460000000001;18423;0.0;0.0;8-12;1991-2000;9.82135516299751;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
53;61;95;6;30;8;2;30;1990;Animals,Children's Game,Dice,Racing;6.410019999999999;960;0.0;0.0;8-12;1981-1990;6.866933284461882;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
54;62;96;2;60;10;2;60;1982;Nautical,Pirates,Wargame;6.13295;495;0.0;0.0;8-12;1981-1990;6.20455776256869;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
55;63;98;5;180;12;2;180;1981;Economic,Wargame,World War II;6.53855;8747;0.0;0.0;8-12;1981-1990;9.076466063419854;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.97;0.0;63.95;0.0;0
56;66;101;6;60;8;2;60;1996;Card Game,Racing;6.7734;1023;0.0;0.0;8-12;1991-2000;6.930494765951626;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
57;67;103;6;240;12;2;30;1980;Fantasy,Fighting;6.961530000000001;3570;0.0;0.0;8-12;1971-1980;8.180320874773685;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;848.91;0.0;0.0;0.0;0
58;68;105;5;60;8;2;60;1997;Card Game,Fantasy,Mythology;6.79949;6292;0.0;0.0;8-12;1991-2000;8.747034264178168;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.73;0.0;0.0;0.0;0
59;69;106;4;45;10;2;45;1998;Card Game,Murder/Mystery;6.97858;2895;0.0;0.0;8-12;1991-2000;7.970740390007095;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;29.95;16.95;0.0;0.0;0.0;0
60;70;110;6;60;8;2;60;1987;Economic,Transportation;6.26805;1293;0.0;0.0;8-12;1981-1990;7.164720378771857;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;138.38;0.0;0.0;0.0;0.0;0
61;71;111;5;90;12;3;45;1999;Abstract Strategy,Medieval,Territory Building;6.61642;1396;0.0;0.0;8-12;1991-2000;7.241366283322318;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
62;72;112;6;45;14;2;45;1995;Bluffing,Card Game,Medieval,Negotiation;6.7392199999999995;6301;2.0;2.0;13-17;1991-2000;8.748463629942055;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.59;0.0;23.85;42.95;0.0;0
63;73;113;6;60;10;4;60;1999;Card Game;6.6142199999999995;204;0.0;0.0;8-12;1991-2000;5.318119993844216;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
64;74;115;6;60;12;3;60;1994;Negotiation;6.82562;3062;0.0;0.0;8-12;1991-2000;8.026823576217629;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.97;44.95;0.0;0.0;0.0;0
65;75;116;5;30;12;2;30;1998;Card Game,Humor;6.53873;15334;1.0;2.0;8-12;1991-2000;9.63782786411884;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;10.99;15.6;0.0;16.95;0.27;0
66;78;117;4;45;10;2;30;1999;Abstract Strategy;6.9900199999999995;1263;0.0;0.0;8-12;1991-2000;7.141245122350491;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
67;79;118;5;45;10;3;45;1992;Card Game,Economic;7.30341;11439;2.0;3.0;8-12;1991-2000;9.344783848525674;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.77;32.99;24.99;41.99;-1.66;19
68;80;120;6;45;12;2;45;1990;Bluffing;6.54518;4410;0.0;0.0;8-12;1981-1990;8.391629968440892;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
69;81;121;6;180;12;2;60;1979;Bluffing,Fighting,Negotiation,Novel-based,Political,Science Fiction;7.61137;4563;4.0;3.5;8-12;1971-1980;8.425735580927402;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.98;46.95;31.8;69.95;0.26;13
70;83;124;4;90;12;3;90;1997;Prehistoric;6.98124;4240;0.0;0.0;8-12;1991-2000;8.352318548226004;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;109.99;0.0;0.0;0.0;0.0;0
71;84;125;5;30;10;3;30;1999;Card Game;6.56467;2396;0.0;0.0;8-12;1991-2000;7.78155595923534;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;60.37;10.49;0.0;0.0;-2.02;0
72;85;126;6;90;12;2;90;1987;Animals,Racing;6.320869999999999;654;0.0;0.0;8-12;1981-1990;6.483107351457199;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;200.55;17.49;0.0;0.0;0
73;87;127;6;120;10;1;120;1997;Deduction,Science Fiction;5.3192900000000005;197;0.0;0.0;8-12;1991-2000;5.2832037287379885;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0
74;88;128;8;20;10;1;20;1983;Abstract Strategy,Puzzle;6.59535;2046;0.0;0.0;8-12;1981-1990;7.6236419465115715;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;25.95;29.95;0.0;0.0;0.0;0
75;89;130;6;240;12;2;240;1994;Fantasy,Trains,Transportation;6.95603;1372;0.0;0.0;8-12;1991-2000;7.22402480828583;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.95;51.68;0.0;0.0;0
76;90;132;2;60;10;2;60;1997;Ancient,Bluffing,Card Game;6.4504;3837;0.0;0.0;8-12;1991-2000;8.252446090246952;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
77;91;134;5;45;12;3;45;1999;Nautical,Racing;6.002999999999999;516;0.0;0.0;8-12;1991-2000;6.246106765481563;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.95;44.95;24.65;0.0;0.15;0
78;92;135;4;60;12;2;60;1999;City Building,Nautical,Renaissance;5.9745800000000004;688;0.0;0.0;8-12;1991-2000;6.5337888379333435;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0
